Grain ID,Area pixels^2,Diameter pixels,Diameter mm,Circularity,Center X,Center Y
1,3902.5,70.49,23.414,0.033,220,6
2,46.0,7.65,2.542,0.506,453,18
3,42.5,7.36,2.4434,0.172,331,20
4,474.0,24.57,8.1601,0.285,6,41
5,127.5,12.74,4.2321,0.362,388,25
6,91.5,10.79,3.5852,0.241,381,38
7,262.0,18.26,6.0667,0.168,261,42
8,103.5,11.48,3.8131,0.293,235,37
9,157.5,14.16,4.7038,0.383,293,42
10,171.5,14.78,4.9084,0.367,348,43
11,115.0,12.1,4.0193,0.404,469,43
12,37.0,6.86,2.2798,0.38,18,48
13,62.5,8.92,2.9631,0.567,192,46
14,67.5,9.27,3.0793,0.529,283,44
15,108.5,11.75,3.9041,0.304,147,50
16,58.0,8.59,2.8544,0.705,338,50
17,350.0,21.11,7.012,0.301,64,57
18,138.5,13.28,4.4109,0.561,420,54
19,33.0,6.48,2.1531,0.763,191,55
20,223.0,16.85,5.597,0.221,208,54
21,111.5,11.91,3.9577,0.421,238,64
22,253.0,17.95,5.9616,0.204,383,63
23,267.5,18.46,6.1301,0.336,102,69
24,226.5,16.98,5.6408,0.325,292,69
25,70.0,9.44,3.1358,0.59,369,69
26,95.0,11.0,3.6531,0.418,385,80
27,55.5,8.41,2.7922,0.482,36,77
28,43.5,7.44,2.472,0.662,143,78
29,138.0,13.26,4.403,0.571,206,87
30,524.0,25.83,8.5797,0.232,226,86
31,91.0,10.76,3.5754,0.534,342,81
32,68.5,9.34,3.1021,0.181,468,86
33,129.0,12.82,4.257,0.167,4,90
34,106.5,11.64,3.8679,0.534,421,91
35,125.5,12.64,4.1988,0.373,437,89
36,257.5,18.11,6.0144,0.278,357,93
37,112.5,11.97,3.9754,0.241,442,98
38,47.0,7.74,2.5695,0.864,83,98
39,295.0,19.38,6.4375,0.227,135,104
40,75.0,9.77,3.2459,0.632,163,103
41,498.5,25.19,8.3683,0.363,370,109
42,269.5,18.52,6.153,0.396,468,115
43,265.0,18.37,6.1014,0.307,10,126
44,104.0,11.51,3.8223,0.449,40,111
45,410.5,22.86,7.5938,0.337,337,125
46,110.5,11.86,3.9399,0.52,105,119
47,152.0,13.91,4.6209,0.428,263,118
48,93.0,10.88,3.6145,0.262,426,119
49,81.0,10.16,3.3732,0.592,173,122
50,87.0,10.52,3.4959,0.51,406,121
51,549.0,26.44,8.782,0.368,355,135
52,183.5,15.29,5.0772,0.401,192,127
53,95.0,11.0,3.6531,0.315,179,136
54,37.5,6.91,2.2952,0.449,244,132
55,54.0,8.29,2.7542,0.529,107,143
56,115.5,12.13,4.0281,0.519,239,142
57,39.0,7.05,2.3407,0.309,268,140
58,112.5,11.97,3.9754,0.653,217,135
59,157.0,14.14,4.6963,0.293,69,149
60,326.5,20.39,6.7725,0.113,8,155
61,242.0,17.55,5.8306,0.304,466,148
62,47.5,7.78,2.5832,0.599,59,149
63,127.5,12.74,4.2321,0.303,377,147
64,223.0,16.85,5.597,0.31,452,151
65,82.5,10.25,3.4043,0.61,246,157
66,98.0,11.17,3.7104,0.528,144,164
67,51.5,8.1,2.6897,0.209,182,164
68,203.5,16.1,5.3467,0.48,260,167
69,65.0,9.1,3.0218,0.46,240,167
70,138.0,13.26,4.403,0.358,404,175
71,92.5,10.85,3.6048,0.455,77,174
72,55.5,8.41,2.7922,0.619,308,171
73,273.0,18.64,6.1928,0.421,62,175
74,164.5,14.47,4.8072,0.291,315,178
75,17332.0,148.55,49.3434,0.294,381,254
76,190.5,15.57,5.1731,0.619,278,186
77,146.5,13.66,4.5365,0.39,34,187
78,57.0,8.52,2.8297,0.394,137,191
79,206.0,16.2,5.3795,0.249,86,200
80,159.0,14.23,4.7261,0.364,149,199
81,40.5,7.18,2.3852,0.461,230,199
82,398.0,22.51,7.4773,0.223,6,235
83,293.5,19.33,6.4211,0.486,211,214
84,266.5,18.42,6.1186,0.519,242,215
85,149.0,13.77,4.5751,0.435,64,212
86,195.0,15.76,5.2339,0.349,168,222
87,88.5,10.62,3.526,0.193,94,227
88,61.0,8.81,2.9273,0.439,87,229
89,130.0,12.87,4.2734,0.751,467,228
90,113.5,12.02,3.993,0.597,219,229
91,201.0,16.0,5.3138,0.306,452,235
92,70.0,9.44,3.1358,0.365,155,233
93,91.0,10.76,3.5754,0.458,262,237
94,54.0,8.29,2.7542,0.582,59,242
95,87.0,10.52,3.4959,0.418,134,241
96,131.5,12.94,4.298,0.344,242,247
97,27.5,5.92,1.9655,0.313,270,242
98,253.0,17.95,5.9616,0.45,198,259
99,65.5,9.13,3.0334,0.485,270,253
100,359.5,21.39,7.1065,0.384,157,266
101,146.5,13.66,4.5365,0.647,225,260
102,86.0,10.46,3.4758,0.422,286,259
103,59.5,8.7,2.8911,0.751,31,265
104,94.0,10.94,3.6339,0.827,84,266
105,148.0,13.73,4.5597,0.318,56,267
106,85.5,10.43,3.4657,0.542,37,277
107,83.0,10.28,3.4146,0.432,235,273
108,169.0,14.67,4.8725,0.236,469,281
109,291.5,19.27,6.3992,0.395,191,281
110,74.0,9.71,3.2242,0.043,1,297
111,302.0,19.61,6.5134,0.341,222,287
112,103.5,11.48,3.8131,0.572,66,286
113,101.5,11.37,3.7761,0.366,164,293
114,200.0,15.96,5.3005,0.409,255,295
115,262.5,18.28,6.0725,0.362,34,293
116,25.5,5.7,1.8927,0.577,159,301
117,64.0,9.03,2.9984,0.517,244,309
118,298.5,19.5,6.4756,0.414,141,315
119,100.0,11.28,3.748,0.731,24,317
120,91.0,10.76,3.5754,0.259,233,319
121,208.5,16.29,5.412,0.358,263,323
122,145.5,13.61,4.521,0.559,468,324
123,51.5,8.1,2.6897,0.741,42,324
124,166.0,14.54,4.829,0.353,196,331
125,52.5,8.18,2.7157,0.532,96,325
126,255.0,18.02,5.9851,0.324,115,335
127,180.5,15.16,5.0355,0.5,163,336
128,112.0,11.94,3.9666,0.499,348,337
129,60.0,8.74,2.9032,0.439,187,342
130,65.5,9.13,3.0334,0.327,204,341
131,97.5,11.14,3.7009,0.546,413,343
132,27.0,5.86,1.9475,0.11,1,347
133,79.0,10.03,3.3313,0.327,66,346
134,40.5,7.18,2.3852,0.374,194,345
135,182.0,15.22,5.0564,0.559,335,340
136,95.5,11.03,3.6627,0.416,136,348
137,291.5,19.27,6.3992,0.462,277,355
138,187.0,15.43,5.1254,0.287,372,356
139,216.0,16.58,5.5085,0.542,402,355
140,190.5,15.57,5.1731,0.569,22,356
141,191.5,15.61,5.1867,0.314,206,355
142,158.0,14.18,4.7112,0.646,240,353
143,102.0,11.4,3.7853,0.371,171,356
144,72.0,9.57,3.1803,0.383,316,360
145,51.0,8.06,2.6766,0.539,451,361
146,20.5,5.11,1.697,0.651,189,362
147,78.5,10.0,3.3208,0.78,467,359
