Grain ID,Area pixels^2,Diameter pixels,Diameter mm,Circularity,Center X,Center Y
1,994.0,35.58,7.9144,0.046,2,126
2,354.5,21.25,4.7264,0.217,112,139
3,31033.5,198.78,44.222,0.706,505,268
4,503.0,25.31,5.63,0.745,89,348
5,428.5,23.36,5.1964,0.855,322,359
6,679.0,29.4,6.5412,0.069,3,337
7,172.0,14.8,3.2922,0.473,241,412
8,604.0,27.73,6.1694,0.531,224,423
9,460.0,24.2,5.384,0.312,8,440
10,628.0,28.28,6.2908,0.525,513,462
11,551.5,26.5,5.8952,0.891,72,467
12,7952.0,100.62,22.3852,0.145,148,517
13,8976.0,106.9,23.7829,0.171,528,518
14,425.0,23.26,5.1751,0.203,334,514
